,winner,gameDuration,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,t1_towerKills,t1_inhibitorKills,t1_baronKills,t1_dragonKills,t1_riftHeraldKills,t2_towerKills,t2_inhibitorKills,t2_baronKills,t2_dragonKills,t2_riftHeraldKills
0,blue,1949,red,blue,blue,blue,blue,red,11,1,2,3,0,5,0,0,1,1
1,blue,1851,blue,blue,blue,nobody,blue,blue,10,4,0,2,1,2,0,0,0,0
2,blue,1493,red,blue,blue,blue,red,nobody,8,1,1,1,0,2,0,0,1,0
3,blue,1758,blue,blue,blue,blue,blue,nobody,9,2,1,2,0,0,0,0,0,0
4,blue,2094,red,blue,blue,blue,blue,nobody,9,2,1,3,0,3,0,0,1,0
5,blue,2059,red,red,blue,blue,red,nobody,8,1,1,1,0,6,0,0,3,0
6,blue,1993,blue,red,blue,blue,blue,blue,10,2,1,2,1,2,0,0,0,0
7,blue,1334,blue,blue,nobody,nobody,red,blue,6,0,0,0,1,0,0,0,2,0
8,red,1387,red,red,red,nobody,red,red,0,0,0,0,0,8,1,0,2,1
9,red,2681,red,red,red,red,red,nobody,10,1,0,2,0,8,3,1,2,0
10,red,1391,red,red,red,red,red,red,0,0,0,1,0,10,2,1,1,1
11,blue,1671,blue,red,blue,nobody,red,blue,10,1,0,0,1,2,0,0,2,0
12,blue,2071,blue,blue,nobody,blue,red,blue,6,0,1,2,1,3,0,0,1,0
13,blue,1942,red,red,blue,nobody,blue,nobody,7,1,0,1,0,3,0,0,2,0
14,red,2374,red,red,blue,blue,red,nobody,8,1,1,2,0,9,2,0,2,0
15,blue,1717,red,blue,blue,nobody,blue,nobody,7,1,0,2,0,0,0,0,0,0
16,red,2390,red,red,red,red,red,nobody,3,0,0,1,0,9,3,2,4,0
17,blue,1994,red,blue,blue,blue,blue,blue,11,6,1,2,1,2,0,0,0,0
18,red,1513,blue,red,red,nobody,red,nobody,0,0,0,0,0,11,3,0,2,0
19,red,1898,blue,red,red,red,blue,blue,4,0,0,3,1,11,2,1,1,0
